alcohol,alcohol_m,alcohol_f,tobacco,tobacco_m,tobacco_f,diabetes,tuberculosis,mortality,mortality_m,mortality_f
10.53851,17.01867,4.83714,25.2,31.7,18.7,9.6,20.0,11.3,15.7,7.3
11.71343,17.92427,5.52763,23.2,25.3,21.1,4.5,6.1,9.7,11.9,7.4
7.42912,11.51969,3.38644,26.7,27.6,25.8,6.6,6.9,11.3,13.4,9.1
11.30123,18.03671,5.14287,33.6,35.2,31.9,5.4,9.1,10.6,14.0,7.3
10.73588,16.90264,4.88897,27.8,35.5,20.1,5.8,5.3,10.6,14.0,7.4
11.30123,18.03671,5.14287,33.4,34.9,31.9,5.3,7.6,10.6,14.0,7.3
10.47519,16.73585,4.61404,31.5,37.6,25.4,5.7,4.5,15.5,21.0,10.4
9.48963,14.91805,4.26371,31.9,35.8,27.9,6.3,16.0,10.9,15.1,6.7
11.57815,18.36997,4.96777,22.3,24.7,20.0,7.5,5.4,12.1,15.4,8.6
10.38865,16.24359,4.71538,25.5,26.8,24.2,5.6,6.7,12.3,14.3,10.2
11.46278,18.39543,5.09315,24.7,29.4,21.2,9.0,16.0,17.4,23.5,11.7
7.47418,11.48784,3.4328,19.1,19.9,18.2,3.2,2.8,9.3,10.6,8.1
11.26302,18.39643,5.11049,30.5,37.4,23.5,7.0,13.0,14.9,22.1,8.8
9.29617,14.41696,4.17948,24.0,29.8,18.2,5.0,3.9,8.4,9.6,7.1
11.2362,17.69386,5.08809,25.7,28.8,22.5,4.8,10.0,11.1,13.8,8.4
10.67668,17.38058,4.72085,33.2,37.6,28.7,6.0,8.6,22.8,30.7,15.6
12.41432,19.65862,5.57179,28.3,31.4,25.1,5.3,5.5,12.8,16.2,9.4
9.94182,15.72154,4.45515,28.1,30.0,27.0,6.3,11.0,9.8,13.1,6.5
10.99456,18.24929,5.12246,40.1,55.1,25.1,7.8,42.0,23.2,34.0,14.2
10.44538,16.89192,4.80883,25.4,30.5,20.2,9.1,16.0,11.0,15.4,7.0
9.48963,14.91805,4.26371,31.9,35.8,27.9,6.3,12.0,10.2,14.0,6.5
