alcohol,alcohol_m,alcohol_f,tobacco,tobacco_m,tobacco_f,diabetes,tuberculosis,mortality,mortality_m,mortality_f
11.14347,17.70949,4.81498,23.5,25.7,21.3,7.5,7.7,13.0,17.3,8.7
8.71981,13.75757,3.86129,42.9,49.1,36.7,6.6,4.6,13.4,18.2,8.8
12.19174,19.19822,5.5633,31.2,33.1,29.3,6.6,8.1,11.2,14.2,8.4
6.90897,10.82393,3.08387,28.6,33.3,23.9,6.6,11.0,11.1,13.8,8.5
6.80397,10.48831,3.09035,16.2,17.0,15.4,3.6,3.3,8.7,10.0,7.4
11.97275,18.80739,5.45854,26.4,27.7,25.0,6.6,4.9,10.4,12.9,7.9
11.71409,18.12455,5.54587,23.8,25.2,22.3,5.2,7.1,10.4,12.2,8.6
9.94182,15.72154,4.45515,29.7,32.0,27.3,6.3,10.0,10.3,14.0,6.6
12.21997,19.22118,5.49089,22.0,24.1,19.9,6.9,5.0,12.1,15.2,9.0
7.84791,12.05698,3.62324,12.6,13.3,13.1,3.2,2.6,8.5,10.0,7.0
7.96607,12.71871,3.53716,23.1,26.6,19.5,5.1,4.2,9.0,11.3,6.8
11.30438,18.10182,5.05029,30.8,35.7,25.9,6.6,21.0,20.6,28.4,13.4
7.47418,11.48784,3.4328,19.1,19.9,18.2,6.6,7.9,9.9,11.7,8.1
10.53851,17.01867,4.83714,25.2,31.7,18.7,9.6,20.0,11.5,16.0,7.3
11.30438,18.10182,5.05029,30.8,35.7,25.9,9.0,24.0,20.0,27.5,13.1
9.61349,14.99871,4.3703,21.1,21.9,20.3,5.6,6.5,11.9,13.8,10.1
14.1729,23.293,6.55996,34.0,45.5,22.4,7.8,53.0,21.4,31.6,12.8
11.72756,18.72897,5.32766,33.7,35.9,31.4,5.4,9.1,10.8,14.4,7.4
11.5288,17.59996,5.44147,21.1,22.4,19.8,4.5,5.8,9.7,12.0,7.4
9.61349,14.99871,4.3703,18.1,19.4,18.4,5.6,5.4,11.3,13.1,9.5
13.28805,21.09174,5.83671,30.7,35.0,26.4,7.1,4.2,14.3,18.8,9.8
11.26302,18.39643,5.11049,29.7,36.3,23.0,6.5,9.3,14.9,22.1,8.8
9.40172,14.64187,4.28697,17.5,17.8,17.1,5.3,4.0,10.8,12.6,9.0
12.25158,19.55246,5.57008,33.8,36.7,30.9,5.4,9.0,11.3,15.2,7.5
10.19669,15.96408,4.62202,27.5,30.0,25.0,5.3,5.7,11.6,13.3,9.8
9.40172,14.64187,4.28697,17.5,17.8,17.1,5.3,4.0,10.8,12.6,9.0
8.07439,12.28169,3.69603,12.0,11.9,12.0,5.5,4.9,8.7,10.2,7.0
13.28805,21.09174,5.83671,30.7,35.0,26.4,7.1,4.2,14.3,18.8,9.8
10.28089,16.16159,4.65149,23.9,26.3,21.4,4.8,8.9,10.6,13.0,8.2
10.39688,16.19171,4.76811,25.7,28.3,23.0,5.9,5.4,7.9,9.6,6.1
12.25158,19.55246,5.57008,33.8,36.7,30.9,5.4,8.6,11.0,14.7,7.4
11.26302,18.39643,5.11049,29.7,36.3,23.0,7.0,10.0,14.9,22.1,8.8
13.28805,21.09174,5.83671,30.7,35.0,26.4,7.1,3.9,14.3,18.8,9.8
11.62513,18.67462,5.15442,24.0,27.9,20.1,6.8,12.0,17.0,22.8,11.5
11.14347,17.70949,4.81498,23.5,25.7,21.3,7.5,7.4,13.1,16.9,9.3
6.82976,10.54198,3.09854,20.7,21.6,19.7,4.7,6.1,9.5,11.0,7.9
7.42912,11.51969,3.38644,26.7,27.6,25.8,4.7,8.2,10.5,12.4,8.6
